"ODD";"INDICATEUR_DEVDUR";"UNIT_MEASURE";"UNIT_MULT";"OBS_STATUS";"GEO";"GEO_OBJECT";"DEVDUR_COMPOSITE";"SEX";"AGE";"EMPSTA";"PCS";"TYPE_INDICATEUR_DEVDUR";"TIME_PERIOD";"OBS_VALUE"
"ODD5";"5.i1";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"F";"_T";"_Z";"_Z";"I_ODD";2015;15.6
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO1";"_Z";"_Z";"_Z";"_Z";"I_ODD";2023;763.6
"ODD8";"8.i5";"HW";"6";"L";"F";"FRANCE";"43.91A";"_T";"_Z";"_Z";"_T";"I_ODD";2023;
"ODD4";"4.i1d";"PT";"0";"L";"F";"FRANCE";"SESC1";"_T";"Y15";"_Z";"_Z";"I_ODD";2017;
"ODD1";"1.i1b";"PT";"0";"B";"FM";"FRANCE";"NIVIEMED_S50";"_T";"Y40T49";"_T";"_T";"I_ODD";2012;8.4
"ODD4";"4.i1c";"PT";"0";"A";"F";"FRANCE";"_Z";"F";"Y15";"_Z";"_Z";"I_ODD";2022;76.9
"ODD8";"8.i3";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"M";"Y_GE15";"_Z";"_Z";"I_ODD";2017;3.7
"ODD8";"8.i4";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"_T";"Y15T24";"_Z";"_Z";"I_ODD";2010;10
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"ROUTE_TYP1";"_T";"_T";"_Z";"_Z";"I_ODD";2017;282
"ODD2";"2.i2e";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"3";"I_ODD";2017;
"ODD1";"1.i5";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2023;121617
"ODD3";"3.i3";"P100000";"0";"L";"F";"FRANCE";"_Z";"M";"_Z";"_Z";"_Z";"I_ODD";2023;
"ODD2";"2.i2f";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"1_2";"I_ODD";2017;
"ODD10";"10.i3a";"_Z";"0";"L";"F_X_D976";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2013;
